Designator,Mid X,Mid Y,Layer,Rotation
"C1",145.600000,-112.400000,top,-90.000000
"C2",150.775000,-100.500000,top,0.000000
"C3",133.825000,-95.650000,top,-90.000000
"C4",133.825000,-99.400000,top,-90.000000
"C5",138.825000,-111.650000,top,0.000000
"C6",147.000000,-111.900000,top,90.000000
"C7",150.275000,-99.000000,top,180.000000
"C8",136.575000,-95.150000,top,-90.000000
"C9",132.300000,-106.500000,top,-90.000000
"C10",133.800000,-106.200000,top,-90.000000
"C11",129.325000,-98.650000,top,0.000000
"C12",129.300000,-104.800000,top,180.000000
"C13",161.025000,-105.000000,top,180.000000
"C14",161.025000,-112.750000,top,0.000000
"C15",157.275000,-120.500000,top,-90.000000
"C16",154.025000,-120.500000,top,-90.000000
"C17",152.915000,-89.250000,top,90.000000
"D1",135.287500,-111.650000,top,0.000000
"D2",161.025000,-115.500000,top,0.000000
"D3",164.775000,-101.250000,top,90.000000
"D5",161.737500,-78.500000,top,180.000000
"F1",162.275000,-101.350000,top,90.000000
"FB1",160.025000,-100.812500,top,90.000000
"J1",171.442500,-107.250000,top,90.000000
"J2",150.100000,-80.050000,top,-90.000000
"J3",142.900000,-80.700000,top,180.000000
"J4",139.150000,-121.300000,top,0.000000
"J5",173.575000,-93.375000,top,90.000000
"L1",133.825000,-108.900000,top,90.000000
"L2",155.525000,-113.750000,top,-90.000000
"Q1",165.775000,-106.000000,top,-90.000000
"R1",128.800000,-93.600000,top,180.000000
"R2",133.600000,-103.000000,top,0.000000
"R3",135.325000,-113.400000,top,180.000000
"R4",157.525000,-106.750000,top,-90.000000
"R5",155.775000,-106.750000,top,90.000000
"R6",165.525000,-109.000000,top,0.000000
"R7",165.525000,-110.750000,top,180.000000
"R8",165.525000,-112.500000,top,0.000000
"R9",149.900000,-89.750000,top,90.000000
"R10",148.665000,-89.750000,top,90.000000
"R11",147.500000,-89.800000,top,90.000000
"R12",151.165000,-89.750000,top,90.000000
"R13",139.800000,-93.800000,top,180.000000
"R14",143.000000,-93.800000,top,0.000000
"R15",141.775000,-88.000000,top,-90.000000
"R16",140.275000,-88.000000,top,-90.000000
"R17",140.400000,-113.300000,top,90.000000
"R18",141.800000,-113.300000,top,90.000000
"R19",161.700000,-80.250000,top,0.000000
"SW1",123.275000,-92.750000,top,-90.000000
"U1",141.900000,-103.650000,top,0.000000
"U2",161.025000,-108.250000,top,180.000000
"U3",167.500000,-93.700000,top,180.000000
"Y1",129.200000,-101.900000,top,-90.000000
